시군구,번지,단지명,전용면적(㎡),거래금액(만원),층,도로명,거래유형
강원도 강릉시 교동,1982,강릉교동롯데캐슬1단지,135.1727,"59,000",4,화부산로99번길 12,중개거래
강원도 강릉시 교동,1983,강릉교동롯데캐슬2단지,135.1008,"51,500",9,화부산로111번길 24,중개거래
강원도 강릉시 교동,1750,교동1주공,59.89,"23,200",12,가작로 78,중개거래
강원도 강릉시 교동,1766,교동3주공,59.86,"27,000",10,교동광장로 138-12,중개거래
강원도 강릉시 교동,1766,교동3주공,59.79,"26,000",4,교동광장로 138-12,중개거래
강원도 강릉시 교동,357,교동이-편한세상,84.7155,"35,000",8,종합운동장길 92,중개거래
강원도 강릉시 교동,332-2,대인맨션,84.72,"20,000",1,화부산로141번길 45,중개거래
강원도 강릉시 교동,175-1,오뚜기,53.19,"4,800",5,율곡로2874번길 5,중개거래
강원도 강릉시 교동,Jan-46,한신,59.84,"19,700",13,명륜로 95-7,중개거래
강원도 강릉시 내곡동,616,강부2,41.18,"7,400",1,관대길 63,중개거래
강원도 강릉시 내곡동,616,강부2,41.18,"7,400",1,관대길 63,중개거래
강원도 강릉시 내곡동,127,남산삼익,58.74,"10,500",3,남부로125번길 37,중개거래
강원도 강릉시 내곡동,127,남산삼익,58.74,"9,900",5,남부로125번길 37,중개거래
강원도 강릉시 내곡동,469,내곡동현대,59.84,"21,000",16,범일로 645,중개거래
강원도 강릉시 내곡동,469,내곡동현대,59.84,"17,600",14,범일로 645,중개거래
강원도 강릉시 내곡동,623,내곡주공,39.3,"9,000",4,관대길16번길 6,중개거래
강원도 강릉시 내곡동,623,내곡주공,46.68,"9,500",1,관대길16번길 6,중개거래
강원도 강릉시 내곡동,476,내곡한라,59.97,"21,500",9,강변로 114,중개거래
강원도 강릉시 내곡동,476,내곡한라,59.97,"17,000",6,강변로 114,중개거래
강원도 강릉시 내곡동,476,내곡한라,84.95,"23,000",1,강변로 114,중개거래
강원도 강릉시 내곡동,758,벽산블루밍더베스트아파트,59.96,"27,000",16,범일로579번길 29-6,중개거래
강원도 강릉시 내곡동,136,삼익타워맨션,116.08,"21,900",4,남산초교길 65,중개거래
강원도 강릉시 노암동,618-1,고합,32.04,"6,600",3,남부로125번길 23,중개거래
강원도 강릉시 노암동,605,노암3한라,59.994,"14,600",5,남부로125번길 7,중개거래
강원도 강릉시 노암동,610,노암남산현대,84.99,"25,000",10,남부로125번길 11,중개거래
강원도 강릉시 노암동,385,한라2,59.989,"15,000",6,남부로191번길 21,중개거래
강원도 강릉시 노암동,245-5,현대,84.945,"21,000",10,율곡로 2733,중개거래
강원도 강릉시 송정동,1065,강릉송정신원아침도시,84.9522,"42,000",2,경강로 2498,직거래
강원도 강릉시 송정동,1065,강릉송정신원아침도시,109.495,"62,000",11,경강로 2498,중개거래
강원도 강릉시 송정동,1065,강릉송정신원아침도시,75.9722,"42,000",6,경강로 2498,중개거래
강원도 강릉시 송정동,110-5,비치소라,54.03,"12,700",4,팔송길 26,중개거래
강원도 강릉시 연곡면 영진리,305-2,삼우그린,30.24,"6,000",13,연주로 132,중개거래
강원도 강릉시 연곡면 영진리,305-2,삼우그린,43.2,"9,000",11,연주로 132,중개거래
강원도 강릉시 연곡면 영진리,305-2,삼우그린,30.24,"6,500",5,연주로 132,중개거래
강원도 강릉시 연곡면 영진리,12,영진부영2,59.987,"16,700",3,영진3길 43,중개거래
강원도 강릉시 연곡면 영진리,12,영진부영2,84.8923,"25,000",4,영진3길 43,중개거래
강원도 강릉시 연곡면 영진리,380,영진부영3,84.9157,"23,000",11,영진3길 15,직거래
강원도 강릉시 연곡면 영진리,381,영진코아루비치테라스,29.9674,"12,600",8,홍질목길 12,중개거래
강원도 강릉시 유천동,778,엘에이치선수촌8단지,74.88,"41,000",13,선수촌로 113,중개거래
강원도 강릉시 유천동,778,엘에이치선수촌8단지,74.88,"39,000",24,선수촌로 113,중개거래
강원도 강릉시 입암동,503-2,강동2,59.64,"8,300",5,강변로410번길 37,중개거래
강원도 강릉시 입암동,608-3,삼우그린,59.89,"11,400",2,강변로 458,중개거래
강원도 강릉시 입암동,543-3,에버그린,59.85,"13,700",2,강변로440번길 30,중개거래
강원도 강릉시 입암동,543-3,에버그린,59.85,"14,000",8,강변로440번길 30,중개거래
강원도 강릉시 입암동,543-3,에버그린,59.85,"13,800",9,강변로440번길 30,중개거래
강원도 강릉시 입암동,210,이안강릉타운,157.34,"43,000",3,성덕로 316-22,직거래
강원도 강릉시 입암동,641,입암1주공,39.72,"11,600",1,강변로 364,중개거래
강원도 강릉시 입암동,49,입암2주공,39.69,"12,500",1,강변로 508,중개거래
강원도 강릉시 입암동,685,입암4주공,59.8,"15,400",1,성덕포남로 89,중개거래
강원도 강릉시 입암동,685,입암4주공,59.8,"16,400",13,성덕포남로 89,중개거래
강원도 강릉시 입암동,685,입암5주공,49.97,"13,400",10,성덕포남로 89-17,중개거래
강원도 강릉시 입암동,685,입암5주공,39.99,"9,500",9,성덕포남로 89-17,중개거래
강원도 강릉시 입암동,685,입암5주공,49.97,"12,800",13,성덕포남로 89-17,중개거래
강원도 강릉시 입암동,685,입암5주공,49.97,"13,500",9,성덕포남로 89-17,중개거래
강원도 강릉시 입암동,685,입암5주공,49.97,"13,500",4,성덕포남로 89-17,직거래
강원도 강릉시 입암동,709-1,입암6주공,59.99,"18,600",12,성덕포남로 39,중개거래
강원도 강릉시 입암동,709-1,입암6주공,49.62,"13,000",12,성덕포남로 39,중개거래
강원도 강릉시 입암동,709-1,입암6주공,49.62,"12,800",4,성덕포남로 39,중개거래
강원도 강릉시 입암동,709-1,입암6주공,59.99,"16,100",9,성덕포남로 39,중개거래
강원도 강릉시 입암동,709-1,입암6주공,59.99,"16,100",9,성덕포남로 39,중개거래
강원도 강릉시 입암동,709-1,입암6주공,59.99,"18,400",7,성덕포남로 39,중개거래
강원도 강릉시 입암동,709-1,입암6주공,49.62,"12,000",5,성덕포남로 39,직거래
강원도 강릉시 입암동,440,입암현대,59.956,"22,000",2,용지로 19,중개거래
강원도 강릉시 입암동,440,입암현대,84.904,"25,500",10,용지로 19,직거래
강원도 강릉시 입암동,445-2,태경태우광업소사원,36.69,"3,850",3,강중길46번길 23,직거래
강원도 강릉시 입암동,506-5,태평양임대,34.722,"6,800",7,강변로410번길 31-5,중개거래
강원도 강릉시 입암동,506-5,태평양임대,39.348,"7,550",2,강변로410번길 31-5,중개거래
강원도 강릉시 입암동,506-5,태평양임대,34.722,"7,000",10,강변로410번길 31-5,중개거래
강원도 강릉시 주문진읍 교항리,240-11,극동,84.93,"17,000",6,웃사다리4길 20,직거래
강원도 강릉시 주문진읍 교항리,398-10,신생빌라,83.2,"7,000",5,신리대동길 31-4,중개거래
강원도 강릉시 주문진읍 교항리,1166-1,우신그린피아임대,59.98,"8,500",8,보리골길 26,중개거래
강원도 강릉시 주문진읍 교항리,1166-1,우신그린피아임대,59.98,"9,800",14,보리골길 26,중개거래
강원도 강릉시 주문진읍 교항리,430-1,유성,49.89,"6,000",3,매맥이윗길 12-4,직거래
강원도 강릉시 주문진읍 교항리,430-1,유성,49.89,"5,300",5,매맥이윗길 12-4,중개거래
강원도 강릉시 주문진읍 교항리,1269,주문진벽산블루밍오션힐스,59.9493,"26,000",2,장성로 25,직거래
강원도 강릉시 주문진읍 주문리,1586,주문진삼부르네상스,59.925,"26,000",7,철둑길 45-11,중개거래
강원도 강릉시 주문진읍 주문리,1585,케이티레파트더블루힐,59.33,"9,200",2,주문북로 147-32,직거래
강원도 강릉시 주문진읍 주문리,1585,케이티레파트더블루힐,84.974,"16,400",14,주문북로 147-32,중개거래
강원도 강릉시 주문진읍 주문리,1585,케이티레파트더블루힐,59.33,"28,800",10,주문북로 147-32,직거래
