지역,아파트,면적,층,가격
강원도 강릉시 교동,강릉교동롯데캐슬1단지,135.1727,4,59000
강원도 강릉시 교동,강릉교동롯데캐슬2단지,135.1008,9,51500
강원도 강릉시 교동,교동1주공,59.89,12,23200
강원도 강릉시 교동,교동3주공,59.86,10,27000
강원도 강릉시 교동,교동3주공,59.79,4,26000
강원도 강릉시 교동,교동이-편한세상,84.7155,8,35000
강원도 강릉시 교동,대인맨션,84.72,1,20000
강원도 강릉시 교동,오뚜기,53.19,5,4800
강원도 강릉시 교동,한신,59.84,13,19700
강원도 강릉시 내곡동,강부2,41.18,1,7400
강원도 강릉시 내곡동,강부2,41.18,1,7400
강원도 강릉시 내곡동,남산삼익,58.74,3,10500
강원도 강릉시 내곡동,남산삼익,58.74,5,9900
강원도 강릉시 내곡동,내곡동현대,59.84,16,21000
강원도 강릉시 내곡동,내곡동현대,59.84,14,17600
강원도 강릉시 내곡동,내곡주공,39.3,4,9000
강원도 강릉시 내곡동,내곡주공,46.68,1,9500
강원도 강릉시 내곡동,내곡한라,59.97,9,21500
강원도 강릉시 내곡동,내곡한라,59.97,6,17000
강원도 강릉시 내곡동,내곡한라,84.95,1,23000
강원도 강릉시 내곡동,벽산블루밍더베스트아파트,59.96,16,27000
강원도 강릉시 내곡동,삼익타워맨션,116.08,4,21900
강원도 강릉시 노암동,고합,32.04,3,6600
강원도 강릉시 노암동,노암3한라,59.994,5,14600
강원도 강릉시 노암동,노암남산현대,84.99,10,25000
강원도 강릉시 노암동,한라2,59.989,6,15000
강원도 강릉시 노암동,현대,84.945,10,21000
강원도 강릉시 송정동,강릉송정신원아침도시,84.9522,2,42000
강원도 강릉시 송정동,강릉송정신원아침도시,109.495,11,62000
강원도 강릉시 송정동,강릉송정신원아침도시,75.9722,6,42000
강원도 강릉시 송정동,비치소라,54.03,4,12700
강원도 강릉시 연곡면 영진리,삼우그린,30.24,13,6000
강원도 강릉시 연곡면 영진리,삼우그린,43.2,11,9000
