Unnamed: 0,번호,제목,저자,출판사,출판일
,1,Speak Up for Museums: The AAM Guide to Advocacy by Gail Ravintzky Silberglied Published in 2011 by The AAM Press,"Jones, J.",MUSEUM EDUCATION ROUNDTABLE,2012
,2,"Riches, Rivals and Radicals: The collectors who shaped the American museum: an excerpt from AAM's centennial publication","Schwarzer, M.",AMERICAN ASSOCIATION OF MUSEUMS,2006
,3,Reviews Hitlers Museum: Die Fotoalben Gemaldegalerie Linz Books Received,"Yeide, N. H.",AMERICAN ASSOCIATION OF MUSEUMS,2004
,4,Diverse challenges : How do changing views of multiculturalism affect museums?,"Nightingale,  Julie",MUSEUMS ASSOC,2015
,5,From Museum to Museums: The Evolution of the Guggenheim,"Dennison, L.",BLACKWELL PUBLISHERS,2003
,6,Philosophy and the museum: An introduction to the special issue,"Lord, B.",London; Elsevier,2006
,7,Leach Pottery Studio and Museum: Potter's workshop gives a taste of the craftsman's skill,"Mason, P.",MUSEUMS ASSOC,2009
,8,LGBTQ Welcoming Guidelines for Museums: developing a resource for the museum field,"Leitch, Christopher; Youngs, Renae; Gavigan, Annette; Lesperance, Michael; Burns, William James; Cohen-Stratyner, Barbara; Hammond, Paul; Hansen, Jaden",LEFT COAST PRESS INC,2016
,9,"At the Crossroads: The Arts of Spanish American & Early Global Trade, 1492-1850. Papers from the 2010 Mayer Center Symposium at the Denver Art Museum. Donna Pierce and Ronal Otsuka, eds. denver: denver art museum; norman: university of oklahoma press, 2012. 182 pp.","Snow, C. T.",Wiley-Blackwell,2015
,10,Visitor engagement at museums: Generation Y and 'Lates' events at the National Museum of Scotland,"Barron, Paul; Leask, Anna",Taylor & Francis,2017
,11,Herbert Art Gallery and Museum: There is a lot to be admired in the new galleries but are they overdesigned?,"Johnson, N.",MUSEUMS ASSOC,2009
,12,M Notes Reality T.V. Makes History Museum-Quality Movies Heavenly Intervention In Brief,"Hitchcock, A.",AMERICAN ASSOCIATION OF MUSEUMS,2004
,13,The Herbert Art Gallery and Museum: bringing arts and heritage to life,"Kirby,  Chris",Published by the Society for Museum Archaeology,2010
,14,The Practical Epistemologies in the Museum: A Study of Students' Learning in Encounters with Dioramas,"Piqueras, J.; Hamza, K.; Edvall, S.",MUSEUM EDUCATION ROUNDTABLE,2008
,15,Digital watch Museums' websites need to be more than databases,"Muller, K.",MUSEUMS ASSOC,2002
,16,"British archaeological human remains in museums: we need sensitivity, but not over-sensitivity","Payne,  Sebastian",Published by the Society for Museum Archaeology,2010
,17,TALKING OBJECTS' AT THE BRITISH MUSEUM: BREAKING DOWN BARRIERS BETWEEN COLLECTIONS AND COMMUNITIES,LORNA CRUICKSHANKS,Museum Ethnographers Group,2015
,18,Multi-media in Museums: potential applications of interactive technology,"Martlew, R.",SMA,1990
,19,What Is Your Museum's Economic Footprint?,"Trainer, L.",MUSEUM EDUCATION ROUNDTABLE,2010
,20,“If I Ever Start a Museum”,D. D. Hilke,MUSEUM EDUCATION ROUNDTABLE,2002
,21,"The Creation Museum's ideas are crazy, but they need serious rebuttal","Asma, S. T.",MUSEUMS ASSOC,2007
,22,"National human rights museums: an engine for social or economic growth? a comparative analysis of human rights museums in canada, the us and russia",unknown,Wiley-Blackwell,2017
,23,Dictatorship and Museums: The museums of Catalonia (Spain) in the early years of the Franco dictatorship (1939–47),"Serra, Maria de Lluc; Alcalde, Gabriel",Maney Publishing,2016
,24,"On the Uses and Arrangement of Arts Museums: Illustrated by Series from the Pitt-Rivers Museums at Oxford and Farnham, Dorset","Pitt-Rivers, A. H. L. F.",Maney Publishing,2014
,25,Managerial Transformation in Chinese Museums: The Shaanxi History Museum in Xi'an,"Zan, L.",Taylor & Francis,2007
,26,Museum: a survey of museums registered in the only cultural top-level domain,"Langa, L.A.",Taylor & Francis,2013
,27,Archaeological curatorship in the national sector: reviewing the British Museum's research function,"Gaimster, D.",SMA,1999
,28,Natural History Museum's return of human remains sparks controversy,unknown,MUSEUMS ASSOC,2006
,29,The Poetry of the Museum: A Holistic Model of Numinous Museum Experiences,"Latham, K.; F.",Taylor & Francis,2007
,30,So You Want to Work in a Museum?,"Aukerman, G.",AMERICAN ASSOCIATION OF MUSEUMS,2007
,31,Measuring the Impact of Museum-School Programs: Findings and Implications for Practice,"Downey, S.; Delamatre, J.; Jones, J.",MUSEUM EDUCATION ROUNDTABLE,2007
,32,The Museum's Collection of Negatives of Fifteenth and Sixteenth Century Engravings,unknown,"Museum of Fine Arts, Boston",1931
,33,"Projecting the Museum: Moving images in, and of, Scotland's national museum","Swinney, Geoffrey N.",Maney Publishing,2019
,34,Excavations in the Museum's Archives and Storerooms: Greek and Roman Sculptures,"VERMEULE, C.","Museum of Fine Arts, Boston",1972
,35,Insights on a Museum's Distance Learning Program,"O Leary, L.",MUSEUM EDUCATION ROUNDTABLE,2011
,36,"The Interpretation of Cultural Policy, By and For Museums: a museum as an embodiment of cultural policies?:","Sandhal, J.",BLACKWELL PUBLISHERS,2006
,37,Researching straw hat manufacture: case studies of relevance to museum-based archaeological research,"Holgate, R.",SMA,1999
,38,Soane alone Hugh Pearman on the Soane museum's anniversary celebrations and plans for expansion,"Qian, Y.; Roland, G.; Xu, C.",MUSEUMS ASSOC,2003
,39,Revisioning the Physical and On-line Museum: A Partnership with the Coalition of Knowledge Building Schools,"Kelly, L.; Groundwater-Smith, S.",MUSEUM EDUCATION ROUNDTABLE,2009
,40,MySpace meets the museum: Getting young people into exhibition making is surprisingly productive,"Birkett, D.",MUSEUMS ASSOC,2007
,41,Portfolio of Chinese Paintings in the Museum: Han to Sung Periods,unknown,"Museum of Fine Arts, Boston",1932
,42,Trust or bust: Is trust status the answer for local authority museums?,"Nightingale, J.",MUSEUMS ASSOC,2007
,43,All for one Is a single funding body the way forward for England's museums?,"Steel, P.",MUSEUMS ASSOC,2005
,44,Museums' future under ACE: What will Renaissance look like under arts council control?,"Atkinson, R.",MUSEUMS ASSOC,2011
,45,British Museum: strike over job cuts,unknown,MUSEUMS ASSOC,2002
,46,What Impressions Do People Have Regarding Mobile Guidance Services in Museums? Designing a Questionnaire that Uses Opinions from the General Public,"Sekiguchi, H.; Yoshimura, H.",MUSEUM EDUCATION ROUNDTABLE,2007
,47,"CLOTH & COSTUME IN ETHNOGRAPHIC MUSEUMS: NEW DIRECTIONS IN RESEARCH, CARE & INTERPRETATION–AN INTRODUCTION",ANDY MILLS,Museum Ethnographers Group,2018
,48,National Service: Christopher Brown is hoping that the multimillion pound Ashmolean redevelopment will transform the museum's image,"Stephens, S.",MUSEUMS ASSOC,2007
,49,The transfer of archaeological archives to museums: The SMA initiative,"Owen, J.",The Society,1994
,50,Classical Marbles in the Museum: II,"ELDRIDGE, L. G.",Cleveland Museum of Art,1919
,51,Why Museums? Museums as Conveners on Climate Change,"Hamilton, Pat; Christian Ronning, Evelyn",MANEY PUBLISHING,2020
,52,Horizontal Museums: Opening up by imagining differently,"Graham, H.",Kent; GEM,2013
,53,The Kourion Notebook in the British Museum. Excavating an Old Excavation,"Kiely, T.",THE BRITISH MUSEUM,2009
,54,Display of the Hansa in the Museum: Model of Hamburg Harbour at the End of the 15th Century,"Prange, C.",unknown,1984
,55,"Address Delivered by President Franklin D. Roosevelt in a Nation-Wide Broadcast Which Marked the Opening of the Museum's New Building on May 8, 1939","ROOSEVELT, F. D.",The Museum of Modern Art,1945
